Word;Çevirisi;Bilinme Durumu
"a, an";"bir, bir";0
about;hakkýnda;0
above;üstünde;0
across;karþýsýnda;0
action;eylem;0
activity;aktivite;0
actor;aktör;0
actress;aktris;0
add;Ekle;0
address;adres;0
adult;yetiþkin;0
advice;tavsiye;0
afraid;korkmuþ;0
after;sonrasýnda;0
afternoon;öðleden sonra;0
again;Yeniden;0
age;yaþ;0
ago;evvel;0
agree;Katýlýyorum;0
air;hava;0
airport;havalimaný;0
all;tüm;0
also;ayrýca;0
always;Her zaman;0
amazing;Harika;0
and;ve;0
angry;sinirli;0
animal;hayvan;0
another;bir diðer;0
answer;Cevap;0
any;hiç;0
anyone;herhangi biri;0
anything;herhangi bir þey;0
apartment;apartman;0
apple;elma;0
April;Nisan;0
area;alan;0
arm;kol;0
around;etrafýnda;0
arrive;varmak;0
art;Sanat;0
article;makale;0
artist;sanatçý;0
as;olarak;0
ask;sormak;0
at;de;0
August;Aðustos;0
aunt;hala;0
away;uzak;0
awesome;süper;0
baby;bebek;0
back;geri;0
bad;kötü;0
bag;sýrt çantasý;0
ball;top;0
banana;muz;0
band;bant;0
bank (money);banka (para);0
bar;çubuk;0
baseball;beyzbol;0
basketball;Basketbol;0
bath;banyo;0
bathroom;banyo;0
be;olmak;0
beach;plaj;0
beautiful;güzel;0
because;çünkü;0
become;olmak;0
bed;yatak;0
bedroom;yatak odasý;0
beer;bira;0
before;önceki;0
begin;baþlamak;0
beginning;baþlangýç;0
behind;arka;0
believe;inanmak;0
below;aþaðýda;0
best;en iyi;0
better;daha iyi;0
between;arasýnda;0
bicycle;bisiklet;0
big;büyük;0
bike;bisiklet;0
bill;fatura;0
bird;kuþ;0
birthday;doðum günü;0
black;siyah;0
blog;Blog;0
blond;sarýþýn;0
blue;mavi;0
boat;bot;0
body;gövde;0
book;kitap;0
boot;bot;0
bored;sýkýlmýþ;0
boring;sýkýcý;0
born;doðmak;0
both;ikisi birden;0
bottle;þiþe;0
box;kutu;0
boy;oðlan;0
